x,y,z,yaw
0.0,0.0,0.0,-5.422718623904594e-20
0.0,0.0,0.0,-2.7113524293614254e-19
-0.01265275302659617,0.006212873270378926,1.1395738220759702e-20,-0.0029890581070569724
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029890742625105094
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989338964174556
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002988454377563392
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029884101566955167
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002988798219152803
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029887956642397693
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029873376735646538
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029884943770011065
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029884690281608
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029885243694133504
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029886075499626456
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989299607404831
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029890891755132354
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989105177555259
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029889436427536563
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002988983446952529
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029906019995718097
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989210058858724
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029892013734918606
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989415673525669
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989401273971581
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002988560321197011
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029894147029516593
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029893681288503883
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029894019396971352
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989441384617169
-0.012652753026596169,0.006212873270378925,1.1395738220759704e-20,-0.002988580899936289
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.00298956321597059
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002989561359434379
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029893679264118306
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029894289021567427
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.002990798781043707
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029896915164195305
-0.01265275302659617,0.006212873270378926,1.1395738220759702e-20,-0.002989752544291378
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029898897416330283
-0.01265275302659617,0.006212873270378926,1.1395738220759704e-20,-0.0029898744539362445
