x,y,z,yaw,path_length,point_count
-0.025025278329849243,0.011483033187687397,1.0,0.0,6.555,69
0.11472056806087494,0.005523458123207092,1.0,-0.08722221851348878,6.555,69
0.2534160315990448,-0.012586955912411213,1.0,-0.17444443702697754,6.555,69
0.3900066316127777,-0.04271051660180092,1.0,-0.26166665554046636,6.555,69
0.5234538912773132,-0.08461819589138031,1.0,-0.34888887405395513,6.555,69
0.6527431607246399,-0.13799138367176056,1.0,-0.4361111223697663,6.555,69
0.7768915295600891,-0.2024242877960205,1.0,-0.5233333110809327,6.555,69
0.8949550986289978,-0.2774270176887512,1.0,-0.6105555295944214,6.555,69
1.0060362815856934,-0.36242935061454773,1.0,-0.6977777481079102,6.555,69
1.1092904806137085,-0.45678502321243286,1.0,-0.7850000262260437,6.555,69
1.2083247900009155,-0.5557405352592468,1.0,-0.7850000262260437,6.555,69
1.3113917112350464,-0.6503006815910339,1.0,-0.6105555295944214,6.555,69
1.381181240081787,-0.7038583755493164,1.0,-0.6977777481079102,6.555,69
1.4459936618804932,-0.7633423805236816,1.0,-0.7850000262260437,6.555,69
1.505327582359314,-0.8282923698425293,1.0,-0.8722222447395326,6.555,69
1.5587235689163208,-0.8982056975364685,1.0,-0.9594444632530214,6.555,69
1.6060606241226196,-0.9723671078681946,1.0,-0.9594444632530214,6.555,69
1.6517807245254517,-1.0475579500198364,1.0,-0.9594444632530214,6.555,69
1.6975009441375732,-1.122748851776123,1.0,-0.9594444632530214,6.555,69
1.7432210445404053,-1.1979396343231201,1.0,-0.9594444632530214,6.555,69
1.7889412641525269,-1.2731305360794067,1.0,-0.9594444632530214,6.555,69
1.8346613645553589,-1.3483214378356934,1.0,-0.9594444632530214,6.555,69
1.8803815841674805,-1.42351233959198,1.0,-0.9594444632530214,6.555,69
1.9261016845703125,-1.498703122138977,1.0,-0.9594444632530214,6.555,69
1.971821904182434,-1.5738940238952637,1.0,-0.9594444632530214,6.555,69
2.0175421237945557,-1.6490849256515503,1.0,-0.9594444632530214,6.555,69
2.0632622241973877,-1.724275827407837,1.0,-0.9594444632530214,6.555,69
2.1089823246002197,-1.799466609954834,1.0,-0.9594444632530214,6.555,69
2.1547024250030518,-1.8746575117111206,1.0,-0.9594444632530214,6.555,69
2.200422763824463,-1.9498484134674072,1.0,-0.9594444632530214,6.555,69
2.246142864227295,-2.0250391960144043,1.0,-0.9594444632530214,6.555,69
2.291862964630127,-2.1002302169799805,1.0,-0.9594444632530214,6.555,69
2.337583065032959,-2.1754209995269775,1.0,-0.9594444632530214,6.555,69
2.38330340385437,-2.2506117820739746,1.0,-0.9594444632530214,6.555,69
2.429023504257202,-2.325802803039551,1.0,-0.9594444632530214,6.555,69
2.474743604660034,-2.400993585586548,1.0,-0.9594444632530214,6.555,69
2.520463705062866,-2.476184368133545,1.0,-0.9594444632530214,6.555,69
2.5661840438842773,-2.551375389099121,1.0,-0.9594444632530214,6.555,69
2.6119041442871094,-2.626566171646118,1.0,-0.9594444632530214,6.555,69
2.6576242446899414,-2.7017571926116943,1.0,-0.9594444632530214,6.555,69
2.7033443450927734,-2.7769479751586914,1.0,-0.9594444632530214,6.555,69
2.7490646839141846,-2.8521387577056885,1.0,-0.9594444632530214,6.555,69
2.7947847843170166,-2.9273297786712646,1.0,-0.9594444632530214,6.555,69
2.8405048847198486,-3.0025205612182617,1.0,-0.9594444632530214,6.555,69
2.8862249851226807,-3.077711343765259,1.0,-0.9594444632530214,6.555,69
2.931945323944092,-3.152902364730835,1.0,-0.9594444632530214,6.555,69
2.977665424346924,-3.228093147277832,1.0,-0.9594444632530214,6.555,69
3.023385524749756,-3.303284168243408,1.0,-0.9594444632530214,6.555,69
3.069105863571167,-3.3784749507904053,1.0,-0.9594444632530214,6.555,69
3.114825963973999,-3.4536657333374023,1.0,-0.9594444632530214,6.555,69
3.160546064376831,-3.5288567543029785,1.0,-0.9594444632530214,6.555,69
3.206266164779663,-3.6040475368499756,1.0,-0.9594444632530214,6.555,69
3.251986503601074,-3.6792383193969727,1.0,-0.9594444632530214,6.555,69
3.2977066040039062,-3.754429340362549,1.0,-0.9594444632530214,6.555,69
3.3434267044067383,-3.829620122909546,1.0,-0.9594444632530214,6.555,69
3.3891468048095703,-3.904810905456543,1.0,-0.9594444632530214,6.555,69
3.4348671436309814,-3.980001926422119,1.0,-0.9594444632530214,6.555,69
3.4805872440338135,-4.055192947387695,1.0,-0.9594444632530214,6.555,69
3.5263073444366455,-4.130383491516113,1.0,-0.9594444632530214,6.555,69
3.5720274448394775,-4.2055745124816895,1.0,-0.9594444632530214,6.555,69
3.6177477836608887,-4.280765533447266,1.0,-0.9594444632530214,6.555,69
3.6634678840637207,-4.355956077575684,1.0,-0.9594444632530214,6.555,69
3.7091879844665527,-4.43114709854126,1.0,-0.9594444632530214,6.555,69
3.7549080848693848,-4.506338119506836,1.0,-0.9594444632530214,6.555,69
3.800628423690796,-4.581528663635254,1.0,-0.9594444632530214,6.555,69
3.846348524093628,-4.65671968460083,1.0,-0.9594444632530214,6.555,69
3.8918025493621826,-4.732069492340088,1.0,-1.0466666221618655,6.555,69
3.932224750518799,-4.810204029083252,1.0,-1.1338888406753542,6.555,69
3.965623378753662,-4.891589164733887,1.0,-1.2211110591888428,6.555,69
